Additional_Number_of_Scoring,Average_Score,Review_Total_Negative_Word_Counts,Total_Number_of_Reviews,Review_Total_Positive_Word_Counts,Total_Number_of_Reviews_Reviewer_Has_Given,Tags
92,8.9,7,913,4,8,"[' Leisure trip ', ' Group ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
158,8.4,28,1374,6,8,"[' Leisure trip ', ' Solo traveler ', ' Executive Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
108,8.5,0,2080,5,9,"[' Business trip ', ' Solo traveler ', ' Comfort Double Room ', ' Stayed 4 nights ']"
514,8.2,40,2665,16,2,"[' Leisure trip ', ' Couple ', ' Junior Suite ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
617,8.8,2,2213,5,8,"[' Leisure trip ', ' Couple ', ' Twin Room ', ' Stayed 1 night ']"
2623,8.7,28,12158,3,15,"[' Leisure trip ', ' Couple ', ' Superior Twin Room with Internal View ', ' Stayed 4 nights ']"
562,8.5,10,1944,22,1,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
832,9.1,28,4672,29,1,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
1172,7.8,3,5945,0,2,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 2 nights ']"
224,8.6,30,2351,16,98,"[' Business trip ', ' Solo traveler ', ' Junior Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
170,8.2,20,1593,6,14,"[' Leisure trip ', ' Group ', ' Twin Guest Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
1444,7.8,12,5726,25,1,"[' Leisure trip ', ' Group ', ' Standard Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
1243,8.1,0,6608,9,2,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
294,8.7,0,1271,8,2,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
392,8.6,21,1641,20,1,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
1936,8.7,96,7491,8,1,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
732,9.4,6,2200,4,8,"[' Leisure trip ', ' Couple ', ' Superior Shard King ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
390,7.6,5,4646,4,3,"[' Leisure trip ', ' Group ', ' Small Single Room with Balcony ', ' Stayed 4 nights ']"
248,9.2,4,945,6,1,"[' Leisure trip ', ' Couple ', ' Deluxe Studio Suite ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
117,9.1,0,946,84,3,"[' Leisure trip ', ' Family with older children ', ' Superior Deluxe Double or Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
639,9.2,0,2619,8,1,"[' Leisure trip ', ' Couple ', ' City King Room ', ' Stayed 3 nights ']"
973,8,0,4820,6,6,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 2 nights ']"
757,8.7,2,5236,7,1,"[' Leisure trip ', ' Couple ', ' Large Twin Room ', ' Stayed 7 nights ', ' Submitted from a mobile device ']"
58,8.2,0,705,6,8,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
73,8.4,25,344,32,1,"[' Leisure trip ', ' Couple ', ' Comfort Double Room ', ' Stayed 1 night ']"
710,7.9,25,6511,8,1,"[' Leisure trip ', ' Couple ', ' Standard Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
406,8.2,3,2011,53,4,"[' Leisure trip ', ' Group ', ' Standard Double Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
1471,9.1,22,4802,21,3,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double ', ' Stayed 3 nights ']"
687,8.9,48,2752,3,7,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
1831,8.1,0,7105,7,1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 5 nights ']"
222,9,83,1209,50,15,"[' Leisure trip ', ' Family with young children ', ' Deluxe Double Room ', ' Stayed 3 nights ']"
335,9,2,1062,2,2,"[' Business trip ', ' Family with young children ', ' Family Room 2 Adults 2 Children ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
260,8,10,3461,11,1,"[' Business trip ', ' Solo traveler ', ' Congress Suite ', ' Stayed 3 nights ']"
141,9.2,0,803,4,5,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
113,8.9,74,1558,0,2,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
975,8.7,8,7656,16,2,"[' Leisure trip ', ' Couple ', ' Suite ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
457,6.8,43,2751,15,2,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 2 nights ']"
196,8.6,2,1531,9,1,"[' Leisure trip ', ' Couple ', ' Penthouse King Executive Room with Access to Executive Lounge ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
1198,8.5,0,6596,42,1,"[' Leisure trip ', ' Solo traveler ', ' Club Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
312,8.5,0,3442,9,3,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
68,8.8,0,625,17,31,"[' Leisure trip ', ' Family with older children ', ' Triple Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
112,8.3,0,1062,14,1,"[' Leisure trip ', ' Family with young children ', ' Superior Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
91,8.8,0,1250,26,5,"[' Family with older children ', ' Superior Queen Suite with Sofa Bed 3 Adults ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
229,6.9,45,5742,8,8,"[' Solo traveler ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
2288,8.1,11,9568,0,1,"[' Leisure trip ', ' Couple ', ' Cosy Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
1005,8.3,12,3469,4,7,"[' Leisure trip ', ' Couple ', ' Queen Room ', ' Stayed 1 night ']"
387,8.1,125,6373,48,9,"[' Leisure trip ', ' Group ', ' Superior Double Room with free unlimited WIFI ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
472,8,128,1378,2,1,"[' Leisure trip ', ' Solo traveler ', ' Premium Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
2288,8.1,20,9568,4,1,"[' Business trip ', ' Solo traveler ', ' Cosy Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
276,8.7,0,883,3,10,"[' Leisure trip ', ' Solo traveler ', ' King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
229,7.8,28,1252,57,7,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 5 nights ']"
1058,7.7,92,4380,4,2,"[' Leisure trip ', ' Family with young children ', ' Deluxe Twin Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
704,8.8,13,2617,0,7,"[' Group ', ' Deluxe Double Room ', ' Stayed 1 night ']"
301,8.8,37,1071,27,4,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
191,9,0,1329,6,2,"[' Leisure trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
918,8.4,12,4117,19,2,"[' Leisure trip ', ' Group ', ' Superior Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
296,7.8,37,943,5,1,"[' Business trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 4 nights ']"
393,8.6,55,3823,28,1,"[' Leisure trip ', ' Family with older children ', ' Comfort Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
155,9.4,0,951,7,2,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room with State Opera View ', ' Stayed 10 nights ', ' Submitted from a mobile device ']"
989,8.4,0,4660,17,3,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
1322,8.4,0,6117,115,5,"[' Leisure trip ', ' Solo traveler ', ' Executive Studio City View Family ', ' Stayed 1 night ']"
299,8.3,3,1361,18,1,"[' Leisure trip ', ' Group ', ' Standard Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
211,8.9,0,1517,11,1,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 3 nights ']"
325,8.6,10,3221,11,13,"[' Leisure trip ', ' Couple ', ' Superior Executive Room ', ' Stayed 8 nights ', ' Submitted from a mobile device ']"
150,8.7,39,1382,39,1,"[' Leisure trip ', ' Family with young children ', ' Duplex King Suite 2 Adults 2 Children ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
419,8.4,21,4527,12,2,"[' Leisure trip ', ' Family with young children ', ' Suite Room ', ' Stayed 2 nights ']"
62,8,4,516,19,4,"[' Leisure trip ', ' Couple ', ' Classic Room ', ' Stayed 9 nights ', ' Submitted from a mobile device ']"
44,8.7,0,615,7,3,"[' Leisure trip ', ' Family with young children ', ' Classic Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']"
512,8,98,2491,34,4,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
317,8.1,0,3887,3,9,"[' With a pet ', ' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
2623,8.7,6,12158,0,3,"[' Leisure trip ', ' Group ', ' Superior Twin Room with Internal View ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
398,7.9,21,1521,20,2,"[' Leisure trip ', ' Couple ', ' Ambassadors Room ', ' Stayed 1 night ']"
247,9.2,24,1914,4,14,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 3 nights ']"
245,8.4,2,2398,6,1,"[' Leisure trip ', ' Family with young children ', ' Superior Room with Queensize Bed and Single Sofa Bed ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
134,8.3,5,1408,15,2,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
2623,8.7,13,12158,18,5,"[' Leisure trip ', ' Group ', ' Superior Double Room Disability Access ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
417,8.9,23,1744,6,1,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
439,8,26,3633,0,1,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room ', ' Stayed 4 nights ']"
1444,7.8,156,5726,2,5,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
581,8.4,4,1994,3,1,"[' Leisure trip ', ' Couple ', ' Junior Suite ', ' Stayed 1 night ']"
713,8.3,0,2826,22,1,"[' Business trip ', ' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 1 night ']"
1831,8.1,10,7105,2,2,"[' Leisure trip ', ' Group ', ' Superior Twin Room ', ' Stayed 1 night ']"
107,9,25,617,15,1,"[' Leisure trip ', ' Group ', ' Single Room ', ' Stayed 2 nights ']"
264,8.7,0,2698,11,3,"[' Business trip ', ' Solo traveler ', ' Superior Double Room ', ' Stayed 2 nights ']"
101,8.2,21,1658,16,5,"[' Leisure trip ', ' Couple ', ' Triple Room ', ' Stayed 1 night ']"
75,8.9,12,486,18,24,"[' Leisure trip ', ' Couple ', ' Superior Room ', ' Stayed 3 nights ']"
185,8.8,12,2336,10,1,"[' Leisure trip ', ' Couple ', ' Double or Twin Ground Floor ', ' Stayed 4 nights ']"
222,9,23,1209,0,6,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ']"
194,8.4,2,1431,123,1,"[' Business trip ', ' Solo traveler ', ' Classic Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
1172,7.8,34,5945,15,3,"[' Leisure trip ', ' Couple ', ' Executive Double Room ', ' Stayed 1 night ']"
289,8.8,0,1519,7,1,"[' Business trip ', ' Solo traveler ', ' Deluxe Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
43,7.5,15,761,5,4,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
40,7.6,12,527,15,3,"[' Leisure trip ', ' Couple ', ' Comfort Double Room With Sacr Coeur View ', ' Stayed 3 nights ']"
144,8.1,24,1363,6,1,"[' Leisure trip ', ' Family with young children ', ' Two Adjacent Rooms 6 persons ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
713,8.3,12,2826,9,1,"[' Business trip ', ' Solo traveler ', ' Junior Suite ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
788,8.5,132,2635,7,1,"[' Leisure trip ', ' Family with young children ', ' Executive Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
392,8.5,17,3602,11,3,"[' Business trip ', ' Solo traveler ', ' Double or Twin Room 1 2 Adults ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
255,8.1,0,1290,10,24,"[' Family with older children ', ' Family Queen Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
404,8.6,10,1593,6,7,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 8 nights ', ' Submitted from a mobile device ']"
930,8.9,2,2836,32,13,"[' Leisure trip ', ' Couple ', ' Deluxe King or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
231,8.7,4,1362,7,23,"[' Business trip ', ' Solo traveler ', ' Superior Room with 1 Queen Bed ', ' Stayed 2 nights ']"
555,8.4,0,4410,15,1,"[' Leisure trip ', ' Couple ', ' Standard Queen Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
2623,8.7,59,12158,33,1,"[' Solo traveler ', ' Studio King Family ', ' Stayed 1 night ']"
401,8.1,7,1500,7,1,"[' Leisure trip ', ' Family with older children ', ' Standard Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
1058,7.7,6,4380,0,1,"[' Leisure trip ', ' Family with young children ', ' Triple Room ', ' Stayed 2 nights ']"
148,7.8,2,1245,11,5,"[' Leisure trip ', ' Family with older children ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
452,7.6,26,2562,5,1,"[' Leisure trip ', ' Couple ', ' Standard Double ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
231,8.9,10,857,4,4,"[' Leisure trip ', ' Family with young children ', ' Executive King Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
326,8.6,116,1032,39,4,"[' Leisure trip ', ' Couple ', ' Marina Double Suite ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
514,8.2,18,2665,14,1,"[' Leisure trip ', ' Family with young children ', ' Standard Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
995,8.1,36,3826,7,3,"[' Leisure trip ', ' Couple ', ' Queen Guest Room ', ' Stayed 2 nights ']"
392,8.6,20,1641,0,1,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
153,8.9,11,988,17,1,"[' Leisure trip ', ' Couple ', ' Deluxe King Room ', ' Stayed 4 nights ']"
474,8.2,0,3568,209,1,"[' Leisure trip ', ' Couple ', ' Business Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
169,8.3,52,2573,55,5,"[' Leisure trip ', ' Solo traveler ', ' Premium Double Room ', ' Stayed 7 nights ']"
99,8.7,20,1005,5,21,"[' Leisure trip ', ' Family with young children ', ' Superior Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
950,8.6,25,3486,0,2,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
666,8.5,15,4559,23,9,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room 1 2 Adults ', ' Stayed 1 night ']"
228,8.3,0,3613,5,1,"[' Leisure trip ', ' Couple ', ' King Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
220,9.3,0,831,97,13,"[' Leisure trip ', ' Family with young children ', ' Executive King Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
64,8.9,2,1032,22,37,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 3 nights ']"
409,8.4,0,1479,16,1,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
88,8.6,6,525,13,20,"[' Business trip ', ' Solo traveler ', ' Deluxe Room with Spa Fitness Access ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
926,8.2,15,5770,0,1,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
94,9.2,2,969,23,8,"[' Group ', ' Family Studio ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
417,6.7,0,2400,20,4,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
267,8.7,8,872,2,1,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
348,8,23,1710,38,2,"[' Business trip ', ' Solo traveler ', ' Deluxe Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
106,9,18,855,24,31,"[' Leisure trip ', ' Couple ', ' Standard Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
234,8,59,1295,15,5,"[' Leisure trip ', ' Couple ', ' Standard Double Twin Room ', ' Stayed 2 nights ']"
60,6.6,53,411,9,12,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ']"
198,8.2,13,1046,6,2,"[' Leisure trip ', ' Solo traveler ', ' Single Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
66,8.6,5,657,13,6,"[' Leisure trip ', ' Group ', ' Standard Double Room ', ' Stayed 8 nights ', ' Submitted from a mobile device ']"
150,8.7,78,1382,31,1,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
15,8.5,21,148,5,1,"[' Business trip ', ' Solo traveler ', ' Classique Square ', ' Stayed 2 nights ']"
215,7.8,102,1945,6,2,"[' Leisure trip ', ' Family with young children ', ' Standard Double Room ', ' Stayed 2 nights ']"
930,8.9,11,2836,0,1,"[' Business trip ', ' Solo traveler ', ' Deluxe King or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
211,8.1,14,2436,12,4,"[' Leisure trip ', ' Family with older children ', ' 2 rooms ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
60,8.1,0,660,15,2,"[' Business trip ', ' Solo traveler ', ' Standard Double or Twin Room ', ' Stayed 3 nights ']"
95,8.2,0,564,18,3,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
54,8.3,115,275,61,5,"[' Leisure trip ', ' Family with older children ', ' Suite ', ' Stayed 3 nights ']"
832,9.1,34,4672,20,1,"[' Leisure trip ', ' Couple ', ' Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
930,8.9,19,2836,17,6,"[' Leisure trip ', ' Couple ', ' Deluxe King or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
199,8.3,6,776,42,2,"[' Leisure trip ', ' Couple ', ' Junior Double Room ', ' Stayed 2 nights ']"
155,9.4,24,951,40,6,"[' Leisure trip ', ' Couple ', ' Deluxe Double Room with State Opera View ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
251,9,0,2304,26,1,"[' Leisure trip ', ' Group ', ' Double Room with Balcony ', ' Stayed 2 nights ']"
524,8.2,0,2516,4,6,"[' Leisure trip ', ' Solo traveler ', ' Standard Queen Room ', ' Stayed 1 night ']"
129,8.5,34,1152,43,5,"[' Leisure trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ']"
207,8.5,5,2601,7,1,"[' Business trip ', ' Solo traveler ', ' Deluxe Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
602,8.5,0,2494,23,11,"[' Family with young children ', ' Superior Queen Room ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
1005,8.3,42,3469,29,2,"[' Leisure trip ', ' Family with young children ', ' Twin Room ', ' Stayed 1 night ']"
198,8.6,12,2341,24,23,"[' Leisure trip ', ' Family with young children ', ' 2 rooms ', ' Stayed 3 nights ']"
531,9,5,2298,3,1,"[' Leisure trip ', ' Couple ', ' Premier Double Room ', ' Stayed 1 night ']"
1427,8.8,9,4305,0,1,"[' Leisure trip ', ' Couple ', ' Deluxe King Room with Stadium View ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
222,7.5,2,1016,5,1,"[' Leisure trip ', ' Couple ', ' Executive King Room ', ' Stayed 6 nights ', ' Submitted from a mobile device ']"
78,9.1,144,600,10,1,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 2 nights ']"
44,8.9,0,240,7,7,"[' Leisure trip ', ' Family with older children ', ' Superior Double Room ', ' Stayed 6 nights ']"
46,7.8,376,523,11,1,"[' Leisure trip ', ' Family with young children ', ' Double Room ', ' Stayed 4 nights ']"
99,8.4,4,1442,66,23,"[' Couple ', ' Double Room ', ' Stayed 3 nights ']"
639,8.8,3,7371,19,5,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
421,8.5,31,1802,40,2,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ']"
205,9.1,10,1875,6,2,"[' Leisure trip ', ' Couple ', ' Double Room with View ', ' Stayed 3 nights ']"
258,7.8,24,2521,20,1,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
167,8.6,11,1594,7,34,"[' Leisure trip ', ' Couple ', ' Double or Twin Room 1 2 Adults ', ' Stayed 2 nights ']"
156,8.5,0,1354,11,1,"[' Leisure trip ', ' Couple ', ' Comfort Double or Twin Room 1 2 Adults ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
127,9.2,5,1073,41,49,"[' Leisure trip ', ' Solo traveler ', ' Superior Room ', ' Stayed 2 nights ']"
726,8.6,25,4530,17,15,"[' Business trip ', ' Solo traveler ', ' Double Room ', ' Stayed 1 night ']"
641,8.7,40,2130,82,7,"[' Leisure trip ', ' Family with young children ', ' Standard Double or Twin Room ', ' Stayed 1 night ']"
690,8.6,4,2890,14,60,"[' Leisure trip ', ' Couple ', ' Dorsett Double Room ', ' Stayed 3 nights ']"
269,8.1,0,5265,12,7,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 3 nights ']"
541,7.9,45,6792,43,1,"[' Leisure trip ', ' Family with young children ', ' Double or Twin Room with Terrace and Spa Access ', ' Stayed 7 nights ', ' Submitted from a mobile device ']"
556,8,21,2347,0,1,"[' Leisure trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 1 night ']"
129,9.2,7,1010,8,2,"[' Business trip ', ' Solo traveler ', ' Standard Double Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
392,8.5,27,3602,13,3,"[' Leisure trip ', ' Family with young children ', ' Superior Double Room ', ' Stayed 5 nights ']"
341,8.2,24,1496,28,5,"[' Leisure trip ', ' Couple ', ' Superior Double Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
80,8.8,13,625,14,20,"[' Business trip ', ' Couple ', ' Classic Room ', ' Stayed 2 nights ']"
134,7.5,0,1266,3,10,"[' Leisure trip ', ' Couple ', ' Standard Room ', ' Stayed 9 nights ', ' Submitted from a mobile device ']"
76,8.9,8,390,10,3,"[' Business trip ', ' Solo traveler ', ' Standard Single Room ', ' Stayed 4 nights ', ' Submitted from a mobile device ']"
272,8.1,0,1652,20,12,"[' Business trip ', ' Couple ', ' Superior King Room ', ' Stayed 1 night ']"
62,9.1,0,376,38,13,"[' Family with young children ', ' Superior Double Room ', ' Stayed 6 nights ']"
201,7.5,27,3228,2,1,"[' Leisure trip ', ' Couple ', ' Double Room Non Smoking ', ' Stayed 5 nights ', ' Submitted from a mobile device ']"
690,8.6,11,2890,0,6,"[' Leisure trip ', ' Couple ', ' Dorsett Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
434,8.6,0,4153,4,2,"[' Leisure trip ', ' Group ', ' Triple Room ', ' Stayed 3 nights ']"
1100,9.1,0,3611,8,4,"[' Leisure trip ', ' Solo traveler ', ' Standard ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
597,7.9,54,2308,0,9,"[' Leisure trip ', ' Couple ', ' Business Class Room ', ' Stayed 2 nights ']"
65,8.1,7,1225,0,11,"[' Leisure trip ', ' Group ', ' Superior Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
127,8.9,0,1498,7,1,"[' Leisure trip ', ' Couple ', ' Comfort Double or Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
396,8.3,13,4293,11,8,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
681,8.9,0,2692,11,8,"[' Leisure trip ', ' Couple ', ' Standard Queen Room ', ' Stayed 1 night ']"
1258,9.4,0,4204,58,2,"[' Leisure trip ', ' Group ', ' Superior Double or Twin Room ', ' Stayed 3 nights ']"
96,8.7,6,303,11,5,"[' Leisure trip ', ' Group ', ' One Bedroom Suite ', ' Stayed 11 nights ', ' Submitted from a mobile device ']"
230,8.6,34,1703,7,6,"[' Leisure trip ', ' Group ', ' Superior Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
190,8.8,12,2220,8,2,"[' Leisure trip ', ' Couple ', ' Double or Twin Room ', ' Stayed 3 nights ']"
100,9.3,5,755,10,16,"[' Leisure trip ', ' Couple ', ' Classic Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
1100,9.1,32,3611,5,12,"[' Leisure trip ', ' Couple ', ' Standard ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
168,8.3,12,1064,9,6,"[' Leisure trip ', ' Couple ', ' King Deluxe Guest Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
2288,8.1,23,9568,13,4,"[' Business trip ', ' Solo traveler ', ' Standard Twin Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
61,8.7,0,312,31,31,"[' Leisure trip ', ' Group ', ' Classic Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
256,8.8,6,1746,11,4,"[' Leisure trip ', ' Couple ', ' Superior Double or Twin Room ', ' Stayed 2 nights ']"
207,8.7,0,3010,37,11,"[' Leisure trip ', ' Couple ', ' Classic Twin Room ', ' Stayed 1 night ']"
639,8.8,10,7371,28,6,"[' Leisure trip ', ' Couple ', ' Standard Double Room ', ' Stayed 1 night ', ' Submitted from a mobile device ']"
43,8.3,0,466,26,1,"[' Leisure trip ', ' Family with young children ', ' Comfort Double Room ', ' Stayed 2 nights ', ' Submitted from a mobile device ']"
2623,8.7,3,12158,3,7,"[' Leisure trip ', ' Family with young children ', ' Superior Double Room with Internal View ', ' Stayed 3 nights ', ' Submitted from a mobile device ']"
